String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
0ΘΣ7,0,472278,1,2731
πψKi,0,194072,1,1006
ΛOcπ,0,1592150,1,670
jU2E,0,54932,1,286
uπaP,0,73236,1,307
Sfz6,0,100560,1,250
oΓζΞ,0,556029,1,1948
hkΨχ,0,291629,1,976
ηuσΦ,0,581096,1,1852
5δWN,0,249880,1,181
caXδ,0,105390,1,424
ΞZIc,0,175964,1,862
l9MO,0,201561,1,1147
UKβW,0,245778,1,1459
b4υΦ,0,96160,1,556
1Uι2,0,452710,1,1774
Gyλt,0,78266,1,244
Zλc$,0,297370,1,1255
%DΩι,0,317855,1,832
σ4λΩ,0,221623,1,874
TqAa,0,1809456,1,5723
αΨ0M,0,1309053,1,4556
RfCQ,0,753645,1,2719
7!TR,0,58893,1,145
j4pM,0,185803,1,556
05$T,0,44542,1,34
kλSε,0,671090,1,2536
τqμ6,0,95140,1,361
!νGm,0,73331,1,124
ΨΘeν,0,421824,1,1564
ηgA8,0,108645,1,415
ΦKχR,0,274368,1,697
ιnsX,0,563748,1,1507
sJχβ,0,169910,1,115
EHικ,0,137118,1,496
Λ%ec,0,578924,1,2242
5Ke1,0,21808,1,4
nIHζ,0,315117,1,1084
χOβ5,0,168875,1,553
7OzA,0,45494,1,103
ΘWgl,0,1049741,1,3434
πAgD,0,284310,1,1138
ecγK,0,390099,1,1336
0jQξ,0,73297,1,232
7ψCH,0,150802,1,562
απF8,0,152790,1,505
%d9M,0,182235,1,748
#9eu,0,24400,1,49
OhLH,0,977763,1,1304
ΠWCε,0,767245,1,2833
εDβO,0,3365321,1,2737
V1κi,0,57728,1,124
Cηpπ,0,1595192,1,5081
ncνP,0,340737,1,1141
j7Kz,0,677413,1,2062
χν5γ,0,219383,1,670
4βdm,0,907227,1,1813
3δEo,0,70269,1,325
dC1k,0,65008,1,281
φkn2,0,133711,1,646
qλAΓ,0,571184,1,3227
tsca,0,331671,1,2053
φYEα,0,551639,1,3011
YZEj,0,92112,1,349
υbθr,0,33422,1,136
vL!O,0,564186,1,2638
FgSΨ,0,147783,1,352
ZξbB,0,117787,1,325
γ1εM,0,27126,1,22
ΓG$υ,0,305647,1,1108
ΣO5γ,0,165657,1,460
ΛαdT,0,292890,1,1087
Vgξμ,0,159295,1,553
ξ7νP,0,65270,1,142
p3ιc,0,31081,1,37
Pπθτ,0,120871,1,637
AWσ!,0,305877,1,1828
γ!dC,0,269737,1,1600
κξUP,0,180692,1,1081
gηPb,0,270730,1,1510
PζιS,0,164756,1,934
0r$η,0,224840,1,1099
ΞuvL,0,138227,1,862
p4LT,0,683726,1,3425
μBrq,0,614481,1,2089
δRrω,0,144586,1,763
EβMH,0,71956,1,382
BλDκ,0,858777,1,3065
μΛΦL,0,669095,1,2437
Gfiπ,0,107610,1,247
σdiM,0,1831644,1,1774
mH@i,0,44864,1,85
JU6χ,0,3638155,1,5858
rεcE,0,360497,1,1384
τUZΞ,0,155077,1,529
LsnΠ,0,608573,1,2434
SuΦ%,0,380639,1,1309
ξΓιa,0,316993,1,1072
8Δγh,0,156901,1,463
fηιr,0,39174,1,79
Hwκr,0,187766,1,706
WrRΠ,0,318417,1,1132
χηVz,0,168129,1,469
lpγb,0,523315,1,1384
QMιn,0,499749,1,1348
χpNξ,0,900293,1,2008
Xvm9,0,117331,1,334
α@Pk,0,438407,1,1276
2986,0,276035,1,895
D0Tψ,0,295502,1,1192
nVAD,0,365489,1,1261
Bv9z,0,249146,1,832
MBwΛ,0,22111,1,31
Drf3,0,39106,1,97
ψσzv,0,41504,1,58
qθψy,0,133420,1,211
7vκH,0,376412,1,1366
9ΣxV,0,30039,1,43
pG8X,0,458858,1,1534
ηΣdk,0,622141,1,1591
Eβmκ,0,222789,1,430
γωΛ1,0,85355,1,271
CzHg,0,204931,1,580
P5ys,0,411688,1,1561
thΔR,0,872202,1,3026
XiωΘ,0,388983,1,1249
c3Γψ,0,590829,1,592
ΩOES,0,123984,1,433
7δ$μ,0,811826,1,2977
g!8τ,0,485632,1,1834
bθXw,0,321557,1,1240
JyωΠ,0,104100,1,337
kd%J,0,38730,1,73
$Frξ,0,126252,1,427
yO@I,0,406602,1,1120
Λζdb,0,121561,1,406
6σRy,0,211625,1,622
Ξunp,0,296903,1,1018
GNHL,0,554754,1,3110
Z8tT,0,213719,1,1321
ζljQ,0,40147,1,82
ΨqKy,0,284015,1,1240
ψKΔQ,0,24661,1,88
vτpS,0,61423,1,244
ιOΨ2,0,245817,1,1297
Cjxξ,0,1074262,1,4109
8THΛ,0,201052,1,646
gΠFΞ,0,1195513,1,4838
N9φυ,0,169463,1,694
ωTGκ,0,43088,1,166
η1υz,0,36497,1,166
%SΩπ,0,35367,1,145
QhPμ,0,92956,1,325
α0Yζ,0,486202,1,2761
0qθ9,0,305175,1,1750
κenv,0,360324,1,2146
ναga,0,48687,1,112
Ps$κ,0,577982,1,2209
PBIι,0,229765,1,928
ιm8I,0,43348,1,148
Γ1De,0,258536,1,871
Γν1N,0,192045,1,733
lzYi,0,168483,1,640
CΔMω,0,423434,1,1411
zφΔ$,0,246105,1,1396
l$S#,0,22351,1,124
αqcQ,0,23744,1,88
RTtP,0,220787,1,1162
rv1F,0,94900,1,523
CUχΓ,0,61987,1,271
dυm!,0,64146,1,265
#%Jt,0,506003,1,2761
1eyθ,0,154512,1,742
1σp%,0,19364,1,43
!UdP,0,332901,1,1873
Oα9κ,0,362817,1,1831
WξEF,0,287332,1,1597
Γbγμ,0,948197,1,3791
#8Yψ,0,144466,1,559
rsψE,0,235198,1,880
ωΔ@p,0,44381,1,154
ωYzπ,0,530283,1,2197
mζf%,0,63282,1,79
K9Hι,0,38081,1,70
C!Φα,0,366515,1,1297
υzAι,0,32149,1,76
H8hΩ,0,75297,1,355
γyYΓ,0,51183,1,148
αS14,0,61044,1,307
XTsI,0,344674,1,1774
ΘLiΛ,0,89944,1,469
Nη5I,0,25651,1,76
WjχA,0,340954,1,1150
lZΨh,0,695939,1,3302
4b82,0,586663,1,2605
K8ΛΩ,0,987139,1,3455
ω#εd,0,336198,1,1271
απG0,0,96773,1,307
g2υo,0,129045,1,442
#mε0,0,695924,1,2377
Wfpλ,0,423856,1,1390
gu#Ξ,0,144974,1,571
aΦkc,0,10258,1,4
Γ7qπ,0,177302,1,613
3δZμ,0,697230,1,2644
σmD9,0,50420,1,100
