String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
%aZωfB,0,379809242,1,37654
ωgψKsN,0,365256693,1,38612
kμκScβ,0,287806773,1,23845
IhΦγce,0,50679375,1,5477
r%tUΞβ,0,159574951,1,15748
χMWωλy,0,299656600,1,26881
wRΘzσω,0,88566093,1,9168
μΣzq2M,0,319209033,1,35447
ηΞ%NΓA,0,175624262,1,18899
5$gzP@,0,79421553,1,8579
HvsLΓσ,0,43360235,1,4993
ζ7yO$A,0,401463310,1,27521
μz#Φ9a,0,335395715,1,24212
γ9rΠυm,0,294529398,1,19888
7α1kqκ,0,251237111,1,14014
Ωψδqeo,0,879081077,1,42760
υηνFBe,0,796975122,1,40836
uN$lAL,0,473927233,1,31525
rBPH6γ,0,487524003,1,33029
MynO1G,0,232854900,1,20821
ξχ2EM@,0,300272624,1,28640
2IFOCα,0,70796289,1,5201
εr2νωξ,0,193327960,1,17121
be@γiψ,0,17984008,1,1953
PμyΨδε,0,54211439,1,6099
θΓV@l7,0,312016329,1,25172
fuQθnP,0,231399508,1,17859
γQΨδnU,0,277881301,1,20788
σΞlΣWf,0,271658629,1,25636
E47ω6F,0,238400247,1,23236
ημωbjζ,0,300253148,1,26112
ΞOmΘ0Z,0,384394116,1,37122
Λ54pμχ,0,369755826,1,35838
ι@θΩΘt,0,199886436,1,19939
JEwΣχT,0,98540360,1,8466
φ6RzJr,0,494215951,1,34658
D5H7cK,0,188095624,1,15697
3qτrsW,0,39849271,1,3253
xν6Kι3,0,257025179,1,27154
%ΨrΔWQ,0,419265405,1,42360
JUteδd,0,11262124,1,1473
XLFtC4,0,297141010,1,32967
φσΣπχT,0,221597518,1,24068
cAo$ηR,0,110131795,1,12575
Θ!Rδac,0,308343032,1,34227
cιεjrg,0,70506805,1,9319
Θκζ5νv,0,375278266,1,39972
UBv#ΔA,0,124812996,1,13873
ιbaΓNπ,0,267087147,1,27222
Fχ8τjy,0,131094923,1,15492
δΣaWZU,0,323581224,1,35367
ηoλj#%,0,164877370,1,17759
26πΨf@,0,11557195,1,1215
Hη6#Rc,0,133701889,1,13412
ζ7Hθ6ψ,0,267719590,1,25298
jφqWwψ,0,128346535,1,14432
pΓV1#i,0,250811640,1,25026
AθRψlΞ,0,32492403,1,4719
%P!JMZ,0,407843502,1,39440
ψRuωv4,0,244379381,1,28499
aΞheτδ,0,61542538,1,8435
ΠΛχkw@,0,346607035,1,36853
πΣEusb,0,315429366,1,34245
tFχ!vι,0,71935009,1,8930
MY5vζA,0,128119104,1,15297
ψΘηlCp,0,308216292,1,35365
κξ%69@,0,170005264,1,20705
μεδhse,0,376304853,1,42680
γ7s#Qζ,0,223188984,1,23236
!CνBθF,0,355177483,1,37314
θiδΨNm,0,271308401,1,29809
85HDAa,0,73979040,1,8946
zyUωμΠ,0,159558819,1,17201
ΞK!βGL,0,288541820,1,30227
βV#@τν,0,105562737,1,9366
5jfωd4,0,109399161,1,11028
B@τjΨx,0,91124834,1,8755
9ηzPξΘ,0,34862868,1,4975
j7mFzη,0,152559876,1,15679
σ8Oκγ2,0,307469654,1,35812
γβ6Σχ!,0,155228469,1,17201
03ω7sg,0,15303225,1,1873
εηυhI5,0,246370649,1,26310
F0βCΘΞ,0,145433681,1,15679
ΞQ8ωgr,0,367529242,1,36018
uPwSLR,0,295135694,1,30227
WpκΔ@Φ,0,4867957,1,653
χYVΛk1,0,279584399,1,30341
WZ5λνY,0,90896576,1,11188
wσωεeκ,0,128559565,1,14788
ητ6uξb,0,232620312,1,26834
l7SΩB8,0,254972340,1,27683
7ΔQrqw,0,58701419,1,8097
WHφdνθ,0,75902501,1,9186
mokaPξ,0,252757689,1,29638
θNuax%,0,273076038,1,30305
ωXpΨtg,0,237463847,1,27201
1Wgωθκ,0,10585221,1,815
s3aαQ#,0,230901096,1,23154
Ψλtbγα,0,367133749,1,41796
wr0μMτ,0,227699602,1,26658
FΓvr1ε,0,133946289,1,16310
lζWΨΦΓ,0,80923418,1,9988
βu$δωΦ,0,91554355,1,9168
τ%VL8S,0,360507299,1,35365
oNA8wi,0,334870280,1,31041
ξημiNσ,0,312904433,1,35109
ΩeJαΠ3,0,383219365,1,37556
λw9L@8,0,267205003,1,32323
βVhF#σ,0,215382043,1,25090
WuE6cS,0,241708252,1,27170
@ΨυτBw,0,351010404,1,42760
Ompfkn,0,42396091,1,6079
0ΛQβΠ#,0,30674585,1,4557
γodxcβ,0,330419927,1,38562
HιozRδ,0,71995615,1,8579
UL!2Qφ,0,221536184,1,25874
wH2ψζR,0,183503163,1,21410
yτYZ%β,0,174111755,1,20499
ξfhγrΨ,0,307047959,1,29985
sεx1Bι,0,197138618,1,22227
τoMφ$0,0,233054940,1,22930
τO03Kp,0,372143842,1,40062
2vηYRy,0,48426269,1,6177
veSΓjγ,0,263691418,1,24596
δUjζmψ,0,234458773,1,22672
NTuX3B,0,174522848,1,16899
cfAεμΣ,0,83231392,1,9790
ψΨgSnl,0,315013248,1,34483
νΞ5φΘΦ,0,122906105,1,14014
