String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
#GrL,0,6890045,1,392
ΠωBa,0,7386504,1,427
wOθε,0,5616047,1,302
dδ7N,0,11353611,1,367
pεIL,0,8077392,1,367
Cξ%a,0,5076612,1,257
PUcΘ,0,3921643,1,237
λ42R,0,6971709,1,412
Rrωφ,0,4178344,1,242
φVσi,0,7183037,1,392
hr3ε,0,6859389,1,322
U$ξy,0,4977607,1,282
ΞΘt%,0,7262950,1,382
ihum,0,5914619,1,302
%CΩε,0,6758367,1,392
5γΞβ,0,4200492,1,257
sΩBG,0,6355006,1,367
nRψB,0,6020165,1,347
νΩSp,0,7905904,1,367
Yφ8F,0,7555187,1,367
KψεX,0,5076487,1,282
9#Aa,0,5709108,1,277
αJTΘ,0,7343789,1,357
@kjB,0,7365515,1,432
v1Θ#,0,5781843,1,297
Bmγψ,0,3905761,1,237
fωΠL,0,5185978,1,287
ηΓWA,0,6825548,1,372
ΣeΔf,0,7618751,1,392
Πσ4β,0,7264596,1,427
l1Σr,0,6157600,1,302
Hiψ3,0,4839329,1,287
cει2,0,4858614,1,287
δ%α5,0,6264611,1,372
!gγΩ,0,6849264,1,387
βlvγ,0,7081276,1,357
8hVξ,0,6389086,1,262
vYΞn,0,5941809,1,332
MiΩX,0,4791495,1,257
a2XZ,0,7072268,1,387
ζΓQ4,0,7228491,1,372
3Zbγ,0,4016429,1,237
SιrT,0,5466519,1,282
βZζΘ,0,4967410,1,297
φπKσ,0,6947580,1,412
S1QM,0,6669440,1,392
#gGΛ,0,7052192,1,412
tτμκ,0,4658564,1,282
WyγR,0,4732938,1,287
MεCg,0,5679860,1,337
ahεH,0,4747632,1,287
wzΩμ,0,3934546,1,242
whωΦ,0,5176639,1,297
!σνΨ,0,9215596,1,412
3aL6,0,5236878,1,282
ενoi,0,6793492,1,372
h$ad,0,7315083,1,367
σφnΛ,0,5424341,1,322
Ψ@aJ,0,6260731,1,372
χcst,0,6516651,1,387
ULxλ,0,4705741,1,297
dΛΣe,0,4244226,1,257
ΓBye,0,6369262,1,392
SkωJ,0,4577211,1,287
4lπμ,0,4531220,1,242
FRηΠ,0,3800162,1,237
U7δi,0,4829534,1,302
mηΩq,0,4057738,1,257
μθΨ0,0,5649015,1,347
kκεy,0,4785179,1,282
θζfv,0,7772979,1,427
i7Ωζ,0,6432702,1,302
3ωβξ,0,4834222,1,277
sBzD,0,5995673,1,332
NZS#,0,5332289,1,262
BUΩx,0,3996680,1,242
iσaχ,0,5964760,1,322
ΩYGR,0,6993962,1,427
φΔηj,0,5929808,1,372
OΣτπ,0,4500335,1,282
κdwp,0,6407920,1,392
i7Σ6,0,5552654,1,347
rz5W,0,5976942,1,367
8w0υ,0,5171537,1,322
FOmσ,0,3698288,1,237
pLξH,0,5589479,1,347
aηW1,0,7144319,1,372
lOAH,0,7850045,1,427
MkΨH,0,5628544,1,287
βzLΛ,0,7015582,1,382
πRJq,0,8110180,1,412
Bλ%Q,0,4294625,1,257
γjOκ,0,6346772,1,382
6Δc%,0,4312584,1,262
!os8,0,7120146,1,407
%3Θω,0,8000073,1,392
!τθχ,0,8261585,1,412
QiGζ,0,5952706,1,322
j@ZΞ,0,6968616,1,337
