String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Θs0M,0,391919,1,302
μδTα,0,387816,1,302
K!χΠ,0,388150,1,297
@F#ξ,0,422562,1,327
R8co,0,733587,1,297
λQΔ4,0,346832,1,262
ζbxV,0,366483,1,287
t15G,0,344234,1,262
OΛΠY,0,343342,1,262
ΩH#N,0,384876,1,297
gYΔΩ,0,387117,1,292
$H0K,0,391372,1,302
NZΨM,0,420582,1,327
72Pσ,0,349902,1,267
χrcW,0,624016,1,287
lMcσ,0,423397,1,327
θwσ$,0,339834,1,262
sδNX,0,347515,1,267
υwPB,0,384748,1,297
P2CG,0,620707,1,292
GΠδR,0,373108,1,292
hLv%,0,430194,1,327
0RΩK,0,419597,1,302
UO4E,0,650515,1,292
oHηm,0,629728,1,292
jLZq,0,372427,1,287
PπvN,0,694239,1,297
fXψZ,0,390991,1,302
CQUL,0,623333,1,302
tC3κ,0,393946,1,297
ωPKν,0,363702,1,287
19gψ,0,382631,1,297
φgηe,0,592265,1,292
E$Gs,0,378469,1,297
boUγ,0,393717,1,302
6kDΠ,0,388708,1,297
μ#tω,0,596429,1,262
Ξwdp,0,603844,1,267
@eνh,0,494151,1,302
φOBη,0,442318,1,327
8σGK,0,402595,1,302
NiFD,0,662950,1,322
τzWh,0,443728,1,332
νSημ,0,378275,1,287
NξDU,0,413457,1,322
YMzk,0,365150,1,262
εfic,0,638346,1,292
Θυu8,0,608450,1,297
0sΩY,0,405443,1,302
rRΠ!,0,366483,1,287
!ψφ#,0,597132,1,287
Rt#Δ,0,399370,1,302
τfRχ,0,380796,1,297
yNHν,0,368714,1,287
ψυf#,0,431843,1,327
mVO!,0,616847,1,287
φΘhΞ,0,417791,1,287
υβFy,0,435323,1,327
s69Π,0,356447,1,267
s@U6,0,727690,1,302
u6HE,0,376454,1,287
Npπg,0,367027,1,287
3φqE,0,719460,1,292
ΞLe1,0,398880,1,292
θF7d,0,975606,1,287
qΛησ,0,647509,1,262
χsxν,0,677104,1,287
q9σ#,0,770521,1,322
ζOM8,0,739931,1,297
θ1mW,0,685182,1,287
ΣZξψ,0,3558006,1,327
LZζσ,0,580769,1,292
hQξE,0,821541,1,322
Φ26Θ,0,695601,1,297
vWfz,0,1434549,1,302
πΓΦX,0,471956,1,297
Hyvτ,0,384235,1,302
xEkH,0,373042,1,292
Ωcυp,0,368998,1,262
pτΦζ,0,372108,1,292
!rLb,0,502007,1,257
Qε8β,0,630646,1,267
τυιi,0,762457,1,332
CoiΨ,0,1090331,1,287
qπXμ,0,556071,1,287
ψγdV,0,769221,1,327
MzXJ,0,727168,1,302
6Bηo,0,466251,1,262
EQθm,0,386999,1,302
σgLα,0,349515,1,267
WjPφ,0,381443,1,302
Ξzγ5,0,325318,1,257
VCxw,0,353167,1,287
ΣkrY,0,416082,1,327
znιΨ,0,420116,1,322
ντ9s,0,370791,1,292
BodQ,0,415971,1,327
cBeμ,0,610353,1,322
pνm9,0,535106,1,262
uAzΨ,0,336638,1,257
φUPπ,0,384141,1,297
σzZ7,0,457503,1,287
AβtI,0,584814,1,297
NCγy,0,457025,1,262
wlc#,0,363011,1,292
ωμ7Ω,0,347750,1,262
ewν8,0,345277,1,267
4fEΔ,0,338409,1,267
Λδλ6,0,364514,1,292
G6fφ,0,383311,1,302
χy4z,0,395828,1,297
YSδq,0,392226,1,287
cη7F,0,405094,1,322
ΞnAω,0,362563,1,292
