String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
@kSHλ,0,22816301637,1,402000105
4sMνκ,0,21215738726,1,402000105
π5eζX,0,21427139697,1,402000105
Mh0γθ,0,23866393606,1,402000105
rΠΘυ1,0,21601077152,1,402000105
nHσy$,0,21328407596,1,402000105
δ5ηZW,0,21147650738,1,402000105
Πeq6α,0,22499655244,1,402000105
9nLχ2,0,22757763258,1,402000105
uγrπω,0,21170485985,1,402000105
Kσλks,0,21840284101,1,402000105
Σ37Zw,0,21888939604,1,402000105
a3#Qγ,0,22134479648,1,402000105
fψσRΣ,0,21623827372,1,402000105
ν#θ0d,0,21498921243,1,402000105
K8H$d,0,23057232798,1,402000105
LEΔGχ,0,22073032832,1,402000105
IΘoGB,0,22755303626,1,402000105
kdwΞι,0,22959001670,1,402000105
εξ0jP,0,21869736673,1,402000105
#Φ5ων,0,21990754516,1,402000105
gRtr@,0,21823732100,1,402000105
σ9υpε,0,22456754731,1,402000105
qnφβκ,0,20835944140,1,402000105
7kSΛ9,0,22280671581,1,402000105
ψ@s0T,0,21494167947,1,402000105
1wΛ2#,0,21658328565,1,402000105
Bδkox,0,20928564827,1,402000105
LDjpB,0,21890714304,1,402000105
$oΔr4,0,23010502213,1,402000105
B$υΞx,0,23308481570,1,402000105
Ω$πeb,0,21515834848,1,402000105
ζβBGω,0,21516855761,1,402000105
7yjSθ,0,22532148535,1,402000105
hkZoy,0,22036545609,1,402000105
Θβωzl,0,21179982142,1,402000105
cα3Bg,0,21088889098,1,402000105
ΓCoΞ@,0,21736613520,1,402000105
3e0Ju,0,22103701223,1,402000105
%Hy8R,0,22319081017,1,402000105
T09πβ,0,21883719123,1,402000105
4F%cΘ,0,21725853601,1,402000105
v%ιuλ,0,22296226620,1,402000105
5sbaV,0,21293649396,1,402000105
8rDp2,0,21025668684,1,402000105
cΨwX!,0,22016686828,1,402000105
yΦxΣ@,0,20496774218,1,402000105
ΦKkΞO,0,22855611261,1,402000105
37χnX,0,22393975880,1,402000105
GμXlL,0,22002573758,1,402000105
$ΦΛMQ,0,21766998259,1,402000105
ΠXAαμ,0,23145207973,1,402000105
λφβ$Z,0,20486509626,1,402000105
CξvΩψ,0,21625095205,1,402000105
ωjυGπ,0,21449326188,1,402000105
ζVO@υ,0,23779479194,1,402000105
ι6Qg1,0,22981738450,1,402000105
τNωαt,0,21593020688,1,402000105
ΔVεdγ,0,20854420432,1,402000105
zMνaω,0,20489126178,1,402000105
$tsψQ,0,22687529842,1,402000105
εCkΘz,0,20154587198,1,402000105
sJL4ω,0,21198992151,1,402000105
lGj6υ,0,20471974748,1,402000105
DξΦ@K,0,22899409245,1,402000105
auk8Σ,0,21126630218,1,402000105
eaΨEτ,0,22032312372,1,402000105
θλνκΞ,0,21281588336,1,402000105
SΣΦDZ,0,21102460384,1,402000105
q7BΓα,0,22245326278,1,402000105
mπZQΘ,0,21279074843,1,402000105
cdVξω,0,22382993498,1,402000105
D5Δ1T,0,21841301994,1,402000105
d4qQs,0,20758203946,1,402000105
zh36#,0,21216677788,1,402000105
2!dtp,0,22046749644,1,402000105
GHrαQ,0,23077211233,1,402000105
jhTU0,0,20993324233,1,402000105
lQedκ,0,21961024826,1,402000105
wqΔOQ,0,21551050379,1,402000105
BηDσt,0,21567612756,1,402000105
lνsεB,0,21783962124,1,402000105
aO5ΩA,0,21483909752,1,402000105
ζJmdO,0,21516343659,1,402000105
Gδ%Aβ,0,22765787823,1,402000105
γψ6Ωp,0,23889383740,1,402000105
YSJMφ,0,22502746530,1,402000105
eνΞVΠ,0,23793008775,1,402000105
$ζd9@,0,22298093872,1,402000105
ε$#γy,0,23657972544,1,402000105
YπηI1,0,22025917369,1,402000105
aT$τ9,0,21819896508,1,402000105
oF9Nμ,0,20486736569,1,402000105
φΨΣΓK,0,22913667104,1,402000105
9s$λτ,0,20623527752,1,402000105
pJYGL,0,22350710567,1,402000105
rJb2Z,0,23120333815,1,402000105
6πPχM,0,20755975818,1,402000105
ΓΨθΞ%,0,21740067313,1,402000105
ΦEνI2,0,20662803036,1,402000105
3YMκR,0,21659661668,1,402000105
Φ4YΓF,0,21486299734,1,402000105
Θ#5Σb,0,20014520053,1,402000105
pfVB#,0,20560564983,1,402000105
ζlCbΣ,0,21560746527,1,402000105
Ctbgβ,0,21396244031,1,402000105
Ξβ!nδ,0,21700829372,1,402000105
#VYδM,0,21662954642,1,402000105
$w2LI,0,21335356180,1,402000105
OMΔtΛ,0,20893040898,1,402000105
yψw$a,0,21401117448,1,402000105
1πSχ$,0,21546340647,1,402000105
mGljσ,0,23015551922,1,402000105
ΔσDhb,0,21959108597,1,402000105
β4υπμ,0,22344622919,1,402000105
cSΩei,0,22774357719,1,402000105
ωqUΛσ,0,23405186719,1,402000105
d0$IN,0,21995776065,1,402000105
Λk6Rz,0,22331055963,1,402000105
κsPf@,0,22473940290,1,402000105
βp7PQ,0,22268624780,1,402000105
nA9Nε,0,20905251193,1,402000105
κπβtr,0,22531665613,1,402000105
φΔγp1,0,22851554811,1,402000105
WRΘAξ,0,22689317597,1,402000105
%E!OΓ,0,20148402075,1,402000105
ζEFNα,0,23519575710,1,402000105
!EvGζ,0,20349416517,1,402000105
fAGoω,0,22170685898,1,402000105
ζθJV#,0,22160821278,1,402000105
$αΨHη,0,23504518965,1,402000105
ζ8UrΛ,0,21911766231,1,402000105
UλWH8,0,21152872537,1,402000105
ψΩHJk,0,21447058341,1,402000105
fNτVν,0,20835795097,1,402000105
VOΩvb,0,22514024420,1,402000105
vιXυλ,0,22612314303,1,402000105
AUψλW,0,22485439615,1,402000105
WΠtωR,0,20874454422,1,402000105
qBMJ0,0,21073166179,1,402000105
AnOζ5,0,21217906998,1,402000105
vΦ$eξ,0,23072010418,1,402000105
xJuFv,0,22334052682,1,402000105
5ekq2,0,21654893093,1,402000105
κτySb,0,21253287363,1,402000105
bφlXk,0,22388532139,1,402000105
iθzΨu,0,23083796161,1,402000105
6νdvh,0,22470245762,1,402000105
bπεdi,0,22318490967,1,402000105
LzOSσ,0,22528743584,1,402000105
cUYυξ,0,21611505184,1,402000105
PΦXβE,0,22233693098,1,402000105
