String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
tΛKZ6,0,382903,1,386
ΘωEλ8,0,422706,1,676
αQszA,0,705120,1,1110
ktvGι,0,2399117,1,1113
!Ξzκp,0,311155,1,473
5@WcG,0,699017,1,1107
V8ΞθΦ,0,566156,1,954
8Πc2ξ,0,920081,1,1469
Λo79Z,0,425439,1,676
5ψTζv,0,690304,1,1104
GYAυ!,0,412139,1,667
KMωpC,0,855073,1,1388
OsτD6,0,729844,1,1191
qφw@4,0,612051,1,954
αεΞRΣ,0,575845,1,957
kηξhΛ,0,833773,1,1107
ηYΩ%Q,0,860589,1,1385
UΞyηβ,0,312081,1,473
ΓYωλ5,0,847385,1,1388
%ΛMVθ,0,747674,1,1188
VQavJ,0,457038,1,757
VΣwab,0,554757,1,951
Nraγ7,0,534807,1,823
sYΔSp,0,597987,1,1032
jVRLξ,0,535148,1,823
βdΩγ%,0,544389,1,829
ErBΩΠ,0,455308,1,757
QR1Ψβ,0,583398,1,957
0XRrc,0,786394,1,1029
pπwφ@,0,911233,1,1107
νPQmN,0,410753,1,673
nziHθ,0,716414,1,1185
ΦbX7P,0,598219,1,910
HυΣτs,0,681984,1,1104
Θ@8Iω,0,632029,1,823
Qsγcθ,0,323555,1,467
κjξs%,0,567140,1,954
#Tn@Ξ,0,566671,1,904
ΛaIsT,0,752480,1,1185
εΠVPm,0,565736,1,954
πδehl,0,696831,1,1110
VfgλM,0,268958,1,395
ωΔRKA,0,402489,1,667
Unaψη,0,597760,1,1038
τΠLΞS,0,900683,1,1469
ΨFImq,0,314234,1,470
ΨdχΘZ,0,307197,1,476
z1Ξ3f,0,858315,1,1385
OWΣχm,0,310137,1,470
3klDψ,0,600757,1,1032
ζIΓic,0,681916,1,1104
Wh#7C,0,565760,1,954
αλεμ8,0,745328,1,1194
ljeCχ,0,571565,1,954
3βUΦN,0,563494,1,951
AΘωZp,0,417237,1,673
ΣYDwd,0,968094,1,1472
vVrpj,0,330043,1,395
SΛD5o,0,425018,1,676
ΛλuPr,0,860530,1,1388
γKLfζ,0,941148,1,1472
0ΦμφΛ,0,435566,1,670
2ζEhΞ,0,691692,1,1104
KYMuN,0,960775,1,1472
1Iτ%$,0,751138,1,748
ΞIβτV,0,267525,1,386
Mχqo#,0,856073,1,1385
FξΓΠZ,0,269008,1,395
IWΔ3x,0,458786,1,757
lMHδγ,0,458719,1,757
fKΠYv,0,604203,1,1029
εZσνp,0,920232,1,1469
ηB0ΣΓ,0,466948,1,673
ZPT#z,0,930246,1,1475
bRνOπ,0,427081,1,673
cu6rΨ,0,679308,1,907
ΞPΘzY,0,440928,1,392
3bΦgY,0,455237,1,757
aτΘIΞ,0,851145,1,1385
M4ιζσ,0,694436,1,1110
ε!6λL,0,553926,1,832
8ιFβA,0,713658,1,1107
ΩsιΣl,0,265072,1,392
νεPvΓ,0,837331,1,1038
ΞDQν2,0,307239,1,470
!ΘυMη,0,306270,1,473
ξ3ηlz,0,307598,1,476
νR$Λπ,0,600081,1,1038
Qn6Y3,0,702475,1,1104
ΨgChm,0,283532,1,392
λτ%9β,0,561801,1,954
fjAπZ,0,555650,1,957
δrΨγy,0,761413,1,673
bWιRD,0,964052,1,823
0γ8ψA,0,2550903,1,1032
1γCt@,0,1071831,1,1032
ΣMn8θ,0,1246227,1,1104
αR%εJ,0,498957,1,395
pTζμS,0,1337091,1,1191
eχU7d,0,1311403,1,1388
τ0fΦΨ,0,770380,1,1110
iΔψωξ,0,941232,1,1466
V$TBΦ,0,431437,1,676
qNpow,0,845506,1,1385
i#τoV,0,613288,1,907
WκφHo,0,620921,1,470
pUMDL,0,643750,1,754
sg6eχ,0,657280,1,476
ειJvs,0,1932386,1,1188
vυe#D,0,1576245,1,1466
SψΘι0,0,1066813,1,904
zπ@So,0,1607766,1,1391
f7#LΔ,0,1105177,1,676
BqRνp,0,800144,1,754
gueNΩ,0,476284,1,392
Fxq43,0,2298897,1,1385
cΠ$@Σ,0,1118483,1,1038
ζ25%N,0,1035903,1,832
Eoγdk,0,865072,1,754
rYvFω,0,2031356,1,1388
σ#QTψ,0,1083978,1,910
G%cvs,0,1137336,1,1032
T9ΞDV,0,1016312,1,954
Yδ1Hι,0,1352609,1,1107
VΣcu5,0,817415,1,1035
CΨνz2,0,714511,1,1104
7κnU!,0,727711,1,1188
ΨμZσy,0,462582,1,473
ΣMRHs,0,758228,1,1104
LVνe8,0,421824,1,676
avqID,0,540168,1,823
