String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
tη%w,0,987344,1,98
λ0τy,0,2110019,1,246
1Bσδ,0,496945,1,68
Dιωζ,0,733574,1,98
pBq0,0,2403064,1,276
bYβJ,0,2334470,1,276
dpnH,0,1817740,1,201
1υξh,0,1484367,1,136
@E1d,0,4481370,1,387
ΓO1G,0,3546920,1,417
Dsεν,0,562706,1,58
vXPl,0,3264872,1,387
6Vκω,0,396905,1,58
f0ψh,0,1477765,1,181
gZΔζ,0,1491385,1,181
e3Cδ,0,2365134,1,284
xζFR,0,2480735,1,304
IZzd,0,478650,1,68
#2λm,0,3004689,1,359
Ayox,0,900080,1,126
μκaλ,0,3111614,1,387
eM8J,0,3466208,1,417
fsΛε,0,482006,1,68
IπSE,0,1607544,1,201
Wk5H,0,2386789,1,304
zΔe$,0,1594902,1,209
lekι,0,2222045,1,284
0ΘΔQ,0,964334,1,136
ν4Tl,0,2787838,1,349
ξ2ζΛ,0,2246482,1,284
νnLH,0,3467753,1,427
λVk#,0,2222253,1,284
αM@κ,0,1385535,1,181
ΣfJ5,0,3505474,1,427
β8yp,0,2960622,1,359
Lιjs,0,891747,1,126
7#3H,0,1786931,1,239
0εMG,0,991290,1,136
uδλQ,0,1367513,1,163
Wmdv,0,657843,1,96
ΦΨ6δ,0,2508245,1,304
Lτ9χ,0,1614214,1,209
ω%DΘ,0,1881029,1,239
λZx2,0,4363490,1,389
j5μW,0,2290111,1,246
lKυ6,0,2638394,1,276
5ΓΩ@,0,443370,1,58
eb5ε,0,2711934,1,322
σumυ,0,2652150,1,322
4Eqσ,0,413407,1,58
τVo0,0,3320611,1,389
σUΨg,0,2187981,1,246
ΞbτF,0,3553814,1,389
JλΨδ,0,792844,1,98
JZRw,0,917801,1,96
QzYS,0,1744878,1,136
Ξ04@,0,2906448,1,284
λΓ2t,0,2528786,1,304
ΓμNT,0,3721064,1,417
Vμhk,0,989592,1,126
VΘΣα,0,776779,1,98
χbtQ,0,3290438,1,389
σU3Φ,0,2355357,1,322
ωS5τ,0,2906956,1,387
v$Qg,0,2363970,1,304
f!jΨ,0,862182,1,126
ιΠΔH,0,1510824,1,201
7Pwi,0,478740,1,68
PZgF,0,1880336,1,163
J7VG,0,2655167,1,246
ζλ1p,0,2486076,1,304
zjmΠ,0,2152108,1,284
κH#7,0,2203249,1,276
XsaZ,0,968287,1,136
6ΛHT,0,928724,1,126
ΘtΓF,0,3046718,1,389
ylH%,0,2509587,1,322
χεΨη,0,2632207,1,246
7xΓq,0,1169568,1,98
ΣhGξ,0,3381208,1,387
E7Yι,0,1261458,1,171
ψmτz,0,3042485,1,359
aσDΨ,0,1593490,1,209
#YφH,0,3323741,1,389
ΣFΦA,0,2634413,1,276
ιalw,0,6634125,1,349
XυRc,0,2008847,1,239
wYp3,0,3448956,1,389
p%4#,0,1995614,1,239
Pωt0,0,1705099,1,201
gυOΞ,0,1732628,1,209
t7ξp,0,2184196,1,246
nιLd,0,2551164,1,304
ΣGΦN,0,3487128,1,246
αC57,0,10320860,1,417
y1λ0,0,4248408,1,276
5DHw,0,685431,1,58
Fbzψ,0,436997,1,58
TκωΘ,0,419454,1,58
8ζoh,0,1051777,1,136
Gmtb,0,780156,1,98
ζfBG,0,3574930,1,417
χAθk,0,3104256,1,359
u!Xψ,0,2077388,1,239
VTΨν,0,1590646,1,181
ωpAΦ,0,2895566,1,322
ωΛKΩ,0,1653113,1,209
ΓLνK,0,3707277,1,389
cνyo,0,1075903,1,136
Ii2S,0,1902349,1,239
ηΓm$,0,1650024,1,209
nν9L,0,2584194,1,304
θσwυ,0,1676433,1,209
τΓFQ,0,2994514,1,304
JIyH,0,3730534,1,276
xΦMB,0,4261397,1,314
ω!εΩ,0,2992379,1,239
%f8C,0,5747684,1,417
gηme,0,1815276,1,201
JUu@,0,392812,1,58
iLfω,0,2327357,1,284
4$7Θ,0,932465,1,126
Qkθ4,0,1376131,1,163
κQAΠ,0,2606005,1,322
td%O,0,2427441,1,276
ισPw,0,2520797,1,304
GZΛ@,0,405373,1,58
ΦksX,0,3396223,1,389
wτ2λ,0,1922139,1,239
xλυH,0,1353446,1,163
λ8Fh,0,2985385,1,349
k@λ8,0,1644152,1,201
ψI8δ,0,3198192,1,387
XωBη,0,1933532,1,239
$xyE,0,3292197,1,389
CVPΣ,0,673954,1,96
VvκΞ,0,415398,1,58
FαZΣ,0,663334,1,96
MΩ$9,0,1374531,1,163
#lμz,0,3008404,1,359
%0pΘ,0,2942112,1,349
Uiγζ,0,404826,1,58
kυlθ,0,934479,1,126
F$uι,0,949176,1,126
#E8Z,0,3229302,1,387
@Δbr,0,3454058,1,417
mΠhc,0,2623303,1,314
ΦΩXB,0,2622351,1,314
aδWV,0,2563287,1,314
ψqδD,0,3236138,1,389
Mηεb,0,1019004,1,136
mDuζ,0,1340344,1,171
ξ7ζg,0,2973171,1,359
Tτ!l,0,1283861,1,98
Jθεκ,0,1062679,1,96
pσχh,0,1339836,1,163
bLqΣ,0,1336640,1,171
bδ9ν,0,1591036,1,209
pΘrθ,0,926594,1,126
χoNδ,0,3125365,1,387
κξβx,0,2568018,1,314
CNSq,0,392845,1,58
hOYΔ,0,2264306,1,284
DvAV,0,1854852,1,239
ηΞIμ,0,1876904,1,239
