String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ηluφn,0,5640596,1,3482
κσzΞ$,0,5512525,1,3277
e7zAj,0,5419904,1,3072
!qΨVΓ,0,6939787,1,3497
ΘH!bξ,0,6234699,1,3687
1δ0uc,0,5990943,1,3492
Σθ6ΨL,0,6133801,1,3282
xΩzlφ,0,5481739,1,3347
rμywg,0,5829732,1,3552
ξa0μV,0,5635379,1,3492
sεφτc,0,4929649,1,2997
P#oeμ,0,5246383,1,3332
QpAwν,0,6795904,1,3757
θΔHQx,0,5296435,1,3287
Δηiθw,0,5606510,1,3542
ΘNιΣγ,0,5198243,1,3222
aΠGhn,0,5219561,1,3212
τqTκΓ,0,6261234,1,3702
rγ2iN,0,6104849,1,3422
φjshγ,0,6384752,1,3222
024ι5,0,5276939,1,3072
rmtNL,0,7231500,1,3422
πxqoD,0,6099616,1,3687
TτRΨK,0,5920911,1,3497
2Ω8ιG,0,5132225,1,3062
IOΣkR,0,5609718,1,3332
δRxwΣ,0,5488190,1,3282
ζΨaβi,0,5358998,1,3012
λYΨbc,0,7250559,1,3762
4!ΛψΞ,0,6131216,1,3542
#!jΛr,0,5440000,1,3072
pχ3qM,0,6023513,1,3427
XMLi9,0,6715066,1,3487
5iMTQ,0,7050749,1,3757
ΣιΠ$j,0,6034626,1,3342
ΠYHaη,0,6477418,1,3547
0εφsι,0,5604062,1,3277
xtβΔW,0,5401285,1,3332
p9BcL,0,5828915,1,3492
ξSΔQg,0,5701263,1,3542
Fι1ωp,0,5640923,1,3432
XN9BΠ,0,6179177,1,3767
TV6ΔΨ,0,5031445,1,3007
bBA7O,0,6161027,1,3497
FLδBm,0,5879710,1,3287
8κF$!,0,6247309,1,3692
λht6p,0,6758979,1,3697
QΔn5K,0,5760550,1,3497
JαβdΦ,0,5820344,1,3547
0ΩA8G,0,4798518,1,2997
5δζφQ,0,5242804,1,3267
μb7Sξ,0,5114305,1,3207
rAνΣu,0,6446463,1,3482
LPycA,0,5444322,1,3342
ψPj8i,0,4994532,1,3077
UwP!F,0,4872431,1,3067
rUθQξ,0,5196834,1,3272
rΣΓIτ,0,5588933,1,3432
ξΣ!7K,0,5525117,1,3432
NCΦμt,0,5618289,1,3547
τvxΨF,0,6186691,1,3337
πλυMx,0,5758546,1,3077
0peQl,0,5909599,1,3432
μωΦθN,0,5350472,1,3072
$LΞηX,0,5838192,1,3222
Denb5,0,5070173,1,3072
γEJe5,0,5533633,1,3342
noDκh,0,5754132,1,3432
ΔΣB#h,0,5758634,1,3497
ΞB#L4,0,5167429,1,3217
FΔβVN,0,5372790,1,3282
3zajπ,0,5481468,1,3422
ΛPxΓ1,0,6114719,1,3332
nWτp#,0,5261070,1,3332
Uy5bv,0,5599225,1,3482
Λ%$WJ,0,5641207,1,3497
χqτpU,0,5229462,1,3332
%ν5ΦΣ,0,5612817,1,3012
ιYΠjG,0,6229621,1,3542
LvEZζ,0,5018973,1,3007
4PnΛπ,0,5350531,1,3077
DΠΛWc,0,6281786,1,3492
OjzRχ,0,5593956,1,3282
ΔΩYXS,0,5273436,1,3272
δPτθb,0,5747969,1,3547
10Aλ%,0,4876991,1,3012
ΠpDΦB,0,5946352,1,3482
kF%0w,0,5718033,1,3332
K5ΓAα,0,6353899,1,3557
ΔΠ7ζi,0,6077592,1,3432
μxE#R,0,7087513,1,3427
P@φ%9,0,5137163,1,3072
ψνΦJO,0,5102041,1,3007
ΣξJ$s,0,5539762,1,3337
3UxΛX,0,5005147,1,3072
Rν!Π1,0,5278705,1,3272
RΛ6Sπ,0,5101564,1,3012
ιL5νM,0,5654619,1,3497
iJnΔS,0,5855225,1,3687
IbH3s,0,5979462,1,3552
CjυsK,0,5671082,1,3287
ΩπjVZ,0,5260942,1,3287
BκD%7,0,5641463,1,3482
XλAmΘ,0,6485479,1,3482
biBΩ1,0,6697696,1,3752
6@wω9,0,5644588,1,3432
ZoσΓ9,0,6202828,1,3487
NjUc$,0,6670257,1,3697
k!ΘG9,0,5541732,1,3347
Xχ3vc,0,5921738,1,3697
9AξF5,0,6337625,1,3702
φMγKh,0,5274392,1,3002
σiΔΦp,0,6136222,1,3687
Yζιpf,0,6198153,1,3687
nKγΞΦ,0,5826592,1,3277
aμN%P,0,5336121,1,3337
ι1γ9ξ,0,5369861,1,3337
AK%Hm,0,5498919,1,3422
kχφIy,0,4971746,1,3012
χUda#,0,5323960,1,3272
Zh0Hu,0,6415132,1,3687
MEεαμ,0,5757891,1,3267
ZgΨKΩ,0,5473330,1,3272
ckχΦa,0,6004237,1,3482
m@bPr,0,7821298,1,3492
LHXd7,0,5730419,1,3547
ΨSb7χ,0,5660015,1,3432
Ξ8πu5,0,5295786,1,3277
WTΔντ,0,5034190,1,3077
6IQΨΔ,0,5593534,1,3427
gipzH,0,5499971,1,3422
9DoVε,0,5333539,1,3347
xUTyλ,0,5483072,1,3277
ΔiHEK,0,5708621,1,3497
CRPQn,0,5708279,1,3497
κβmσ%,0,5702756,1,3482
ψGTγx,0,5770059,1,3222
ζeπΞσ,0,6397677,1,3552
#pKjn,0,5161727,1,3067
@0ΨzΘ,0,5242237,1,3007
CuΞΠD,0,7619287,1,3482
5χSBυ,0,5959960,1,3497
ezΔWΩ,0,5834244,1,3487
Ξ7T2z,0,5604430,1,3432
ζ9χκU,0,5630046,1,3542
νIJ8d,0,5255741,1,3272
5zowK,0,5630459,1,3497
S65πE,0,5199819,1,3267
x%Py!,0,5511293,1,3477
xι9σζ,0,5405319,1,3347
πdHυ4,0,5337526,1,3272
ΔJ0θ2,0,5942509,1,3687
G8fmH,0,5659260,1,3222
3ΘXQs,0,5922965,1,3277
Gυbγφ,0,5293127,1,3212
C!gEO,0,6835110,1,3432
ζdCSλ,0,6050057,1,3347
WηVμπ,0,5820813,1,3497
Soφμε,0,5533479,1,3282
2Mθxj,0,5358948,1,3217
ΦχΞui,0,5578318,1,3432
jπμXW,0,5698803,1,3482
B8NwΓ,0,5639231,1,3497
ωt%um,0,5277291,1,3287
6αΘηΩ,0,5920314,1,3687
αΩσ5H,0,5389969,1,3347
bloυh,0,5285368,1,3222
ιgfQV,0,5591103,1,3487
kεXG8,0,5782150,1,3552
imυχν,0,5593360,1,3332
tZΔvG,0,9872984,1,3757
ZHUΨ2,0,13269812,1,3692
AγZΨm,0,9595272,1,3277
IMPxΞ,0,8981039,1,3477
P8ΦΨJ,0,8476939,1,3287
bTωBλ,0,7322366,1,3012
TCw%N,0,7991198,1,3432
Amwνn,0,7756433,1,3427
gKακξ,0,7625005,1,3482
gσνδH,0,6866574,1,3222
sεζr2,0,7255325,1,3542
8Σysu,0,7770776,1,3752
5βn4υ,0,7001983,1,3497
TυΣβR,0,5944062,1,2997
jsv#Z,0,7087257,1,3432
UαPQL,0,6487714,1,3492
z@2χμ,0,5909914,1,3477
νΔlΨξ,0,5675689,1,3272
βf7AΦ,0,5506698,1,3282
χεwκβ,0,5897945,1,3432
@mζKQ,0,5360121,1,3207
ΓOν9χ,0,6164585,1,3702
b2τB5,0,5208057,1,3072
!OGA#,0,5915697,1,3687
θhΩξB,0,5768805,1,3492
gΨwYH,0,5150164,1,3222
ΨYIφW,0,5370818,1,3332
WYw@j,0,8867672,1,3432
Iδυ!M,0,9165367,1,3552
tVaRl,0,6730092,1,3077
BψΣt8,0,7075923,1,3282
8Jvφb,0,7707920,1,3692
miuχΨ,0,7230443,1,3692
κnwΩν,0,6969966,1,3692
fΓΞψα,0,6426756,1,3432
#9τLD,0,6277934,1,3542
κLπoe,0,5957758,1,3332
Hκoλg,0,5799848,1,3332
dgΛπl,0,5565355,1,3007
mυ@ων,0,6347033,1,3752
EψeΓΛ,0,6411422,1,3007
DApPξ,0,5408401,1,3272
sΠdSz,0,5834796,1,3432
o2kMF,0,5429619,1,3337
Cr7#Ξ,0,5920296,1,3752
0νlMY,0,4950288,1,3077
Ψπλi0,0,5583039,1,3477
ΩδπhΔ,0,4826823,1,3002
lξZ2c,0,5712577,1,3552
jφ%μV,0,5974299,1,3757
vZUzn,0,5475458,1,3422
7mrχV,0,5490331,1,3477
φΔlL%,0,6844266,1,3752
ΘγΩμ8,0,6084713,1,3492
NDθmπ,0,5457540,1,3012
ξQd#S,0,5961941,1,3497
ωAo42,0,5740890,1,3332
πψYgW,0,6163821,1,3547
ζzhRΩ,0,5907391,1,3542
UξΠαΨ,0,5143606,1,3067
πCDTσ,0,6019766,1,3702
λAFγZ,0,5227164,1,3222
Lalξm,0,5340631,1,3287
tZzαω,0,6182813,1,3687
βxRcL,0,6848422,1,3762
jgGhv,0,13698742,1,3272
0!ΘSδ,0,12068095,1,3077
pLεΛ0,0,12124175,1,3542
