String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ωΔRKA,0,2002245,1,2652
Unaψη,0,2187457,1,3023
τΠLΞS,0,2493063,1,3454
ΨFImq,0,2140312,1,2455
ΨdχΘZ,0,1814342,1,2461
z1Ξ3f,0,2408259,1,3376
OWΣχm,0,2115199,1,2892
3klDψ,0,2118837,1,3017
ζIΓic,0,2088987,1,2808
Wh#7C,0,2101510,1,2939
αλεμ8,0,2278697,1,3179
ljeCχ,0,2110501,1,2942
3βUΦN,0,2039002,1,2936
AΘωZp,0,1904883,1,2658
ΣYDwd,0,2411233,1,3376
vVrpj,0,1712474,1,2380
SΛD5o,0,1931184,1,2661
ΛλuPr,0,2106057,1,2939
γKLfζ,0,2452002,1,3457
0ΦμφΛ,0,2058848,1,2655
2ζEhΞ,0,2250571,1,3089
KYMuN,0,3439518,1,3457
1Iτ%$,0,1961741,1,2733
ΞIβτV,0,1702548,1,2371
Mχqo#,0,2435780,1,3370
FξΓΠZ,0,1887433,1,2461
IWΔ3x,0,2106156,1,2742
lMHδγ,0,2314540,1,2742
fKΠYv,0,2107320,1,3014
εZσνp,0,2454221,1,3454
ηB0ΣΓ,0,2711940,1,2658
ZPT#z,0,2505599,1,3460
bRνOπ,0,1951660,1,2661
cu6rΨ,0,1746657,1,2380
ΞPΘzY,0,1708986,1,2377
3bΦgY,0,1930502,1,2742
aτΘIΞ,0,2401164,1,3370
M4ιζσ,0,2350827,1,3095
ε!6λL,0,2155289,1,2817
8ιFβA,0,2388378,1,3095
ΩsιΣl,0,2137923,1,2377
νεPvΓ,0,3281155,1,3023
ΞDQν2,0,1766544,1,2458
!ΘυMη,0,1832658,1,2458
ξ3ηlz,0,1841246,1,2461
νR$Λπ,0,2171222,1,3023
Qn6Y3,0,2512552,1,3089
ΨgChm,0,1743988,1,2377
λτ%9β,0,2075887,1,2939
fjAπZ,0,2042272,1,2942
δrΨγy,0,1983230,1,2658
bWιRD,0,2034105,1,2808
0γ8ψA,0,2149192,1,3017
1γCt@,0,2145968,1,3017
ΣMn8θ,0,2271746,1,3089
αR%εJ,0,2024639,1,2661
pTζμS,0,2348094,1,3176
eχU7d,0,2429900,1,3373
τ0fΦΨ,0,2534026,1,3095
iΔψωξ,0,2441721,1,3454
V$TBΦ,0,1907691,1,2661
qNpow,0,2467665,1,3370
i#τoV,0,2876509,1,2892
WκφHo,0,1822664,1,2455
pUMDL,0,1793161,1,2458
sg6eχ,0,1832837,1,2461
ειJvs,0,2317963,1,3173
vυe#D,0,2448614,1,3451
SψΘι0,0,2167077,1,2892
zπ@So,0,2487932,1,3376
f7#LΔ,0,1897030,1,2661
BqRνp,0,1949443,1,2742
gueNΩ,0,1727044,1,2377
Fxq43,0,2417227,1,3370
cΠ$@Σ,0,2181941,1,3023
ζ25%N,0,2169454,1,2817
